y,x
0,-950
0,-949
0,-948
0,-947
0,-946
0,-945
0,-944
0,-943
0,-942
0,-941
0,-940
0,-939
0,-938
0,-937
0,-936
0,-935
0,-934
0,-933
0,-932
0,-931
0,-930
0,-929
0,-928
0,-927
0,-926
0,-925
0,-924
0,-923
0,-922
0,-921
0,-920
0,-919
0,-918
0,-917
0,-916
0,-915
0,-914
0,-913
0,-912
0,-911
0,-910
0,-909
0,-908
0.135135135135135,-907
0.27027027027027,-906
0.405405405405405,-905
0.540540540540541,-904
0.675675675675676,-903
0.810810810810811,-902
0.945945945945946,-901
1.08108108108108,-900
1.21621621621622,-899
1.35135135135135,-898
1.48648648648649,-897
1.62162162162162,-896
1.75675675675676,-895
1.89189189189189,-894
2.02702702702703,-893
2.16216216216216,-892
2.2972972972973,-891
2.43243243243243,-890
2.56756756756757,-889
2.7027027027027,-888
2.83783783783784,-887
2.97297297297297,-886
3.10810810810811,-885
3.24324324324324,-884
3.37837837837838,-883
3.51351351351351,-882
3.64864864864865,-881
3.78378378378378,-880
3.91891891891892,-879
4.05405405405405,-878
4.18918918918919,-877
4.32432432432432,-876
4.45945945945946,-875
4.5945945945946,-874
4.72972972972973,-873
4.86486486486487,-872
5,-871
5,-870
5,-869
5,-868
5,-867
5,-866
5,-865
5,-864
5,-863
5,-862
5,-861
5,-860
5,-859
5,-858
5,-857
5,-856
5,-855
5,-854
5,-853
5,-852
5,-851
5,-850
5,-849
5,-848
5,-847
5,-846
5,-845
5,-844
5,-843
5,-842
5,-841
5,-840
5,-839
5,-838
5,-837
5,-836
5,-835
5,-834
5,-833
5,-832
5,-831
5,-830
5,-829
5,-828
5,-827
5,-826
5,-825
5,-824
5,-823
5,-822
5,-821
5,-820
5,-819
5,-818
5,-817
5,-816
5,-815
5,-814
5,-813
5,-812
5,-811
5,-810
5,-809
5,-808
5,-807
5,-806
5,-805
5,-804
5,-803
5,-802
5,-801
5,-800
5,-799
5,-798
5,-797
5,-796
5,-795
5,-794
5,-793
5,-792
5,-791
5,-790
5,-789
5,-788
5,-787
5,-786
5,-785
5,-784
5,-783
5,-782
5,-781
5,-780
5,-779
5,-778
5,-777
5,-776
5,-775
5,-774
5,-773
5,-772
5,-771
5,-770
5,-769
5,-768
5,-767
5,-766
5,-765
5,-764
5,-763
5,-762
5,-761
5,-760
5,-759
5,-758
5,-757
5,-756
5,-755
5,-754
5,-753
5,-752
5,-751
5,-750
5,-749
5,-748
5,-747
5,-746
5,-745
5,-744
5,-743
5,-742
5,-741
5,-740
5,-739
5,-738
5,-737
5,-736
5,-735
5,-734
5,-733
5,-732
5,-731
5,-730
5,-729
5,-728
5,-727
5,-726
5,-725
5,-724
5,-723
5,-722
5,-721
5,-720
5,-719
5,-718
5,-717
5,-716
5,-715
5,-714
5,-713
5,-712
5,-711
5,-710
5,-709
5,-708
5,-707
5,-706
5,-705
5,-704
5,-703
5,-702
5,-701
5,-700
5,-699
5,-698
5,-697
5,-696
5,-695
5,-694
5,-693
5,-692
5,-691
5,-690
5,-689
5,-688
5,-687
5,-686
5,-685
5,-684
5,-683
5,-682
5,-681
5,-680
5,-679
5,-678
5,-677
5,-676
5,-675
5.02941176470588,-674
5.05882352941176,-673
5.08823529411765,-672
5.11764705882353,-671
5.14705882352941,-670
5.17647058823529,-669
5.20588235294118,-668
5.23529411764706,-667
5.26470588235294,-666
5.29411764705882,-665
5.32352941176471,-664
5.35294117647059,-663
5.38235294117647,-662
5.41176470588235,-661
5.44117647058824,-660
5.47058823529412,-659
5.5,-658
5.52941176470588,-657
5.55882352941176,-656
5.58823529411765,-655
5.61764705882353,-654
5.64705882352941,-653
5.67647058823529,-652
5.70588235294118,-651
5.73529411764706,-650
5.76470588235294,-649
5.79411764705882,-648
5.82352941176471,-647
5.85294117647059,-646
5.88235294117647,-645
5.91176470588235,-644
5.94117647058824,-643
5.97058823529412,-642
6,-641
6.11764705882353,-640
6.23529411764706,-639
6.35294117647059,-638
6.47058823529412,-637
6.58823529411765,-636
6.70588235294118,-635
6.82352941176471,-634
6.94117647058824,-633
7.05882352941176,-632
7.17647058823529,-631
7.29411764705882,-630
7.41176470588235,-629
7.52941176470588,-628
7.64705882352941,-627
7.76470588235294,-626
7.88235294117647,-625
8,-624
8.11764705882353,-623
8.23529411764706,-622
8.35294117647059,-621
8.47058823529412,-620
8.58823529411765,-619
8.70588235294118,-618
8.82352941176471,-617
8.94117647058824,-616
9.05882352941176,-615
9.17647058823529,-614
9.29411764705882,-613
9.41176470588235,-612
9.52941176470588,-611
9.64705882352941,-610
9.76470588235294,-609
9.88235294117647,-608
10,-607
10,-606
10,-605
10,-604
10,-603
10,-602
10,-601
10,-600
10,-599
10,-598
10,-597
10,-596
10,-595
10,-594
10,-593
10,-592
10,-591
10,-590
10,-589
10,-588
10,-587
10,-586
10,-585
10,-584
10,-583
10,-582
10,-581
10,-580
10,-579
10,-578
10,-577
10,-576
10,-575
10,-574
10,-573
10,-572
10,-571
10,-570
10,-569
10,-568
10,-567
10,-566
10,-565
10,-564
10,-563
10,-562
10,-561
10,-560
10,-559
10,-558
10,-557
10,-556
10,-555
10,-554
10,-553
10,-552
10,-551
10,-550
10,-549
10,-548
10,-547
10,-546
10,-545
10,-544
10,-543
10,-542
10,-541
10,-540
10,-539
10,-538
10,-537
10,-536
10,-535
10,-534
10,-533
10,-532
10,-531
10,-530
10,-529
10,-528
10,-527
10,-526
10,-525
10,-524
10,-523
10,-522
10,-521
10,-520
10,-519
10,-518
10,-517
10,-516
10,-515
10,-514
10,-513
10,-512
10,-511
10,-510
10,-509
10,-508
10,-507
10,-506
10,-505
10,-504
10,-503
10,-502
10,-501
10,-500
10,-499
10,-498
10,-497
10,-496
10,-495
10,-494
10,-493
10,-492
10,-491
10,-490
10,-489
10,-488
10,-487
10,-486
10,-485
10,-484
10,-483
10,-482
10,-481
10,-480
10,-479
10,-478
10,-477
10,-476
10,-475
10,-474
10,-473
10,-472
10,-471
10,-470
10,-469
10,-468
10,-467
10,-466
10,-465
10,-464
10,-463
10,-462
10,-461
10,-460
10,-459
10,-458
10,-457
10,-456
10,-455
10,-454
10,-453
10,-452
10,-451
10.4444444444444,-450
10.8888888888889,-449
11.3333333333333,-448
11.7777777777778,-447
12.2222222222222,-446
12.6666666666667,-445
13.1111111111111,-444
13.5555555555556,-443
14,-442
14,-441
14,-440
14,-439
14,-438
14,-437
14,-436
14,-435
14,-434
14,-433
14,-432
14,-431
14,-430
14,-429
14,-428
14,-427
14,-426
14,-425
14,-424
14,-423
14,-422
14,-421
14,-420
14,-419
14,-418
14,-417
14,-416
14,-415
14,-414
14,-413
14,-412
14,-411
14,-410
14,-409
14,-408
14,-407
14,-406
14,-405
14,-404
14,-403
14,-402
14,-401
14,-400
14,-399
14,-398
14.0357142857143,-397
14.0714285714286,-396
14.1071428571429,-395
14.1428571428571,-394
14.1785714285714,-393
14.2142857142857,-392
14.25,-391
14.2857142857143,-390
14.3214285714286,-389
14.3571428571429,-388
14.3928571428571,-387
14.4285714285714,-386
14.4642857142857,-385
14.5,-384
14.5357142857143,-383
14.5714285714286,-382
14.6071428571429,-381
14.6428571428571,-380
14.6785714285714,-379
14.7142857142857,-378
14.75,-377
14.7857142857143,-376
14.8214285714286,-375
14.8571428571429,-374
14.8928571428571,-373
14.9285714285714,-372
14.9642857142857,-371
15,-370
15.0357142857143,-369
15.0714285714286,-368
15.1071428571429,-367
15.1428571428571,-366
15.1785714285714,-365
15.2142857142857,-364
15.25,-363
15.2857142857143,-362
15.3214285714286,-361
15.3571428571429,-360
15.3928571428571,-359
15.4285714285714,-358
15.4642857142857,-357
15.5,-356
15.5357142857143,-355
15.5714285714286,-354
15.6071428571429,-353
15.6428571428571,-352
15.6785714285714,-351
15.7142857142857,-350
15.75,-349
15.7857142857143,-348
15.8214285714286,-347
15.8571428571429,-346
15.8928571428571,-345
15.9285714285714,-344
15.9642857142857,-343
16,-342
